Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime
Wardat,24-Apr-81,0,0,0,1.4
Khoon Aur Paani,10-Apr-81,0,0,0,1.5
Kudrat,3-Apr-81,0,0,0,1.75
Krodhi,20-Mar-81,0,0,0,2.5
Love Story,27-Feb-81,0,0,0,5.75
Barsat Ki Ek Raat,20-Feb-81,0,0,0,2
Kranti,3-Feb-81,0,0,0,10
Bulandi,30-Jan-81,0,0,0,2.1
Waqt Ki Deewar,23-Jan-81,0,0,0,1.55
Hum Paanch,9-Jan-81,0,0,0,1.9
Naseeb,5-Jan-81,0,0,0,7.25
Disco Dancer,17-Dec-82,0,0,0,3.2
Samraat,11-Dec-82,0,0,0,3.4
Vidhaata,3-Dec-82,0,0,0,8
Jeeo Aur Jeene Do,19-Nov-82,0,0,0,3.1
Nikaah,24-Sep-82,0,0,0,4.5
Baghawat,27-Aug-82,0,0,0,3.3
Prem Rog,13-Aug-82,0,0,0,6.5
Dharam Kanta,6-Aug-82,0,0,0,3
Farz Aur Kanoon,6-Aug-82,0,0,0,4.75
Khud-Daar,30-Jul-82,0,0,0,5
Insaan,25-Jun-82,0,0,0,2.2
Badle Ki Aag,4-Jun-82,0,0,0,2.6
Teri Kasam,28-May-82,0,0,0,2.1
Ghazab,28-May-82,0,0,0,3.5
Main Inteqaam Loonga,21-May-82,0,0,0,2.5
Sanam Teri Kasam,14-May-82,0,0,0,2.3
Ashanti,7-May-82,0,0,0,2.4
Namak Halal,30-Apr-82,0,0,0,6
Desh Premee,23-Apr-82,0,0,0,3.6
Teesri Aankh,23-Apr-82,0,0,0,2.9
Rajput,16-Apr-82,0,0,0,3.75
Suraag,26-Mar-82,0,0,0.002,0.002
Satte Pe Satta,22-Jan-82,0,0,0,4.25
Hathkadi,15-Jan-82,0,0,0,2.8
Shakti,10-Jan-82,0,0,0,4
Nadiya Ke Paar,30-Nov-81,0,0,0,2.7
Hero,16-Dec-83,0,0,0,6.25
Coolie,2-Dec-83,0,0,0,9
Mawaali,4-Nov-83,0,0,0,4.25
Betaab,5-Aug-83,0,0,0,6.75
Naukar Biwi Ka,22-Jul-83,0,0,0,4.5
Justice Choudhary,15-Jul-83,0,0,0,4.25
Jaani Dost,27-May-83,0,0,0,4
Andha Kanoon,8-Apr-83,0,0,0,4.5
Himmatwala,25-Feb-83,0,0,0,5
Nastik,18-Feb-83,0,0,0,3.8
Sharaabi,18-May-84,0,0,0,4
Maqsad,4-May-84,0,0,0,4.25
Tohfa,3-Feb-84,0,0,0,4.5
Mard,8-Nov-85,0,0,0,8
Geraftaar,13-Sep-85,0,0,0,5
Ram Teri Ganga Maili,16-Aug-85,0,0,0,9.5
Pyar Jhukta Nahin,11-Jan-85,0,0,0,4.5
Nagina,28-Nov-86,0,0,0,4.75
Karma,8-Aug-86,0,0,0,7
Aakhri Raasta,6-Jun-86,0,0,0,4.25
Khudgarz,30-Jul-87,0,0,0,4.75
Mr India,29-May-87,0,0,0,4.5
Hukumat,26-Mar-87,0,0,0,5.5
Insaniyat Ke Dushman,2-Jan-87,0,0,0,4.25
Shahenshah,2-Dec-88,0,0,0,6
Tezaab,10-Nov-88,0,0,0,8
Qayamat Se Qayamat Tak,29-Apr-88,0,0,0,3
Aag Hi Aag,3-Apr-88,0,0,0,4.5
Paap Ki Duniya,18-Mar-88,0,0,0,4.5
Maine Pyar Kiya,29-Dec-89,0,0,0,14
Tridev,7-Jul-89,0,0,0,8.5
Ram Lakhan,27-Jan-89,0,0,0,9
Baaghi,21-Dec-90,0,0,0,4
Thanedaar,14-Dec-90,0,0,0,4.75
Aaj Ka Arjun,10-Aug-90,0,0,0,7
Jurm,5-Jul-90,0,0,0,0
Dil,22-Jun-90,0,0,0,10
Ghayal,22-Jun-90,0,0,0,9.5
Kishen Kanhaiya,9-Mar-90,0,0,0,5
Agneepath,16-Feb-90,0,0,0,5.75
Sadak,20-Dec-91,0,0,0,6
Saajan,20-Dec-91,0,0,0,10
Phool Aur Kaante,21-Nov-91,0,0,0,6.5
Sanam Bewafa,1-Nov-91,0,0,0,5.75
Saudagar,9-Aug-91,0,0,0,8.75
Dil Hai Ke Manta Nahin,12-Jul-91,0,0,0,4
Hum,1-Feb-91,0,0,0,9.25
Saugandh,25-Jan-91,0,0,0,2
Jigar,23-Oct-92,0,0,0,5
Bol Radha Bol,21-Aug-92,0,0,0,4.75
Tahalka,7-Aug-92,0,0,0,5.75
Shola Aur Shabnam,2-Jul-92,0,0,0,6
Deewana,25-Jun-92,0,0,0,7.75
Jo Jeeta Wohi Sikandar,22-May-92,0,0,0,7
Khuda Gawah,8-May-92,0,0,0,6.5
Beta,3-Apr-92,0,0,0,13
Vishwatma,24-Jan-92,0,0,0,5.25
Khiladi,5-Jan-92,0,0,0,4
Darr,24-Dec-93,0.47,1.39,2.65,10.74
Tadipaar,17-Dec-93,0.24,0.69,1.17,2.3
Shatranj,17-Dec-93,0.27,0.74,1.28,3.09
Santaan,11-Dec-93,0.12,0.39,0.7,2.19
Dhanwaan,10-Dec-93,0.15,0.5,0.82,1.39
Bhagyawan,10-Dec-93,0.17,0.48,0.88,2
Aakhri Chetawani,10-Dec-93,0,0,0.13,0.07
Aulad Ke Dushman,3-Dec-93,0.2,0.55,0.96,2.08
Bedardi,12-Nov-93,0.21,0.66,1.16,2.85
Baazigar,12-Nov-93,0,0,0,7.75
Parwane,12-Nov-93,0.11,0.31,0.53,1.12
Khalnayak,6-Aug-93,0,0,0,12.5
Hum Hain Rahi Pyar Ke,23-Jul-93,0,0,0,5
Damini,30-Apr-93,0,0,0,6.5
Aankhen,9-Apr-93,0,0,0,14
Anari,26-Mar-93,0,0,0,6
King Uncle,5-Feb-93,0,0,0,2
Tirangaa,29-Jan-93,0,0,0,6.75
Aansoo Bane Angaarey,1-Jan-93,0.16,0.47,0.81,1.63
Jaanam,1-Jan-93,0.04,0.17,0.29,0.42
Ashaant,1-Jan-93,0.15,0.4,0.68,1.45
Kaise Kaise Rishte,1-Jan-93,0,0,0.2,0.04
Baarish,1-Jan-93,0.02,0.05,0.08,0.17
Meri Aan,1-Jan-93,0.04,0.1,0.17,0.49
Tehqiqaat,1-Jan-93,0.15,0.41,0.71,1.52
Teri Payal Mere Geet,1-Jan-93,0.05,0.14,0.23,0.48
Tum Karo Vaada,1-Jan-93,0,0,0.25,0.03
Mr. Azaad,23-Dec-94,0.33,0.94,1.62,3.23
Teesra Kaun,23-Dec-94,0.32,0.9,1.55,3.15
Hum Hain Bemisal,16-Dec-94,0.39,1.08,1.75,3.02
Zaalim,9-Dec-94,0.36,1.03,1.72,3.18
Gopi Kishen,2-Dec-94,0.43,1.24,2.14,4.81
The Gentleman,18-Nov-94,0.46,1.36,2.45,4.6
Suhaag,4-Nov-94,0.55,1.53,2.59,7.09
Amaanat,14-Oct-94,0.41,1.13,1.88,3.09
Main Khiladi Tu Anadi,23-Sep-94,0.5,1.41,2.43,7.88
Bandit Queen,17-Sep-94,0.35,1.14,2.39,14.1
Andaz Apna Apna,3-Sep-94,0.31,0.92,1.68,5.3
